metric;heuristic;benchmark;program;version;balancing;value;total_test_case;total_statement;total_test_positive;total_test_negative;total_test_equal;total_test_dif;bal_total_test_case;bal_total_statement;bal_total_test_positive;bal_total_test_negative;bal_total_test_equal;bal_total_test_dif;sintet_total_test_equal;sintet_total_test_dif
topn;ochiai;defects4j;Chart;26;smote;139;465;20672;443;22;0;465;886;20672;443;443;422;464;421;0
topn;tarantula;defects4j;Chart;26;smote;604;465;20672;443;22;0;465;886;20672;443;443;422;464;421;0
