metric;heuristic;benchmark;program;version;balancing;value;total_test_case;total_statement;total_test_positive;total_test_negative;total_test_equal;total_test_dif
topn;ochiai;defects4j;Chart;1;nenhum;37;428;7058;427;1;176;252
topn;tarantula;defects4j;Chart;1;nenhum;37;428;7058;427;1;176;252
topn;ochiai;defects4j;Chart;1;smote;37;428;7058;427;1;176;252
topn;tarantula;defects4j;Chart;1;smote;37;428;7058;427;1;176;252
topn;ochiai;defects4j;Chart;2;nenhum;1328;349;1329;347;2;232;117
topn;tarantula;defects4j;Chart;2;nenhum;1328;349;1329;347;2;232;117
topn;ochiai;defects4j;Chart;2;smote;1328;349;1329;347;2;232;117
topn;tarantula;defects4j;Chart;2;smote;1328;349;1329;347;2;232;117
topn;ochiai;defects4j;Chart;3;nenhum;11;49;841;48;1;3;46
topn;tarantula;defects4j;Chart;3;nenhum;11;49;841;48;1;3;46
topn;ochiai;defects4j;Chart;3;smote;11;49;841;48;1;3;46
topn;tarantula;defects4j;Chart;3;smote;11;49;841;48;1;3;46
topn;ochiai;defects4j;Chart;4;nenhum;171;425;25164;403;22;85;340
topn;tarantula;defects4j;Chart;4;nenhum;682;425;25164;403;22;85;340
topn;ochiai;defects4j;Chart;4;smote;60;425;25164;403;22;85;340
topn;tarantula;defects4j;Chart;4;smote;494;425;25164;403;22;85;340
topn;ochiai;defects4j;Chart;5;nenhum;10;126;285;125;1;85;41
topn;tarantula;defects4j;Chart;5;nenhum;10;126;285;125;1;85;41
topn;ochiai;defects4j;Chart;5;smote;10;126;285;125;1;85;41
topn;tarantula;defects4j;Chart;5;smote;10;126;285;125;1;85;41
topn;ochiai;defects4j;Chart;6;nenhum;57;479;677;477;2;432;47
topn;tarantula;defects4j;Chart;6;nenhum;104;479;677;477;2;432;47
topn;ochiai;defects4j;Chart;6;smote;16;479;677;477;2;432;47
topn;tarantula;defects4j;Chart;6;smote;30;479;677;477;2;432;47
topn;ochiai;defects4j;Chart;7;nenhum;100;15;482;14;1;0;15
topn;tarantula;defects4j;Chart;7;nenhum;100;15;482;14;1;0;15
topn;ochiai;defects4j;Chart;7;smote;100;15;482;14;1;0;15
topn;tarantula;defects4j;Chart;7;smote;100;15;482;14;1;0;15
topn;ochiai;defects4j;Chart;8;nenhum;16;23;196;22;1;7;16
topn;tarantula;defects4j;Chart;8;nenhum;16;23;196;22;1;7;16
topn;ochiai;defects4j;Chart;8;smote;16;23;196;22;1;7;16
topn;tarantula;defects4j;Chart;8;smote;16;23;196;22;1;7;16
topn;ochiai;defects4j;Chart;9;nenhum;16;32;954;31;1;2;30
topn;tarantula;defects4j;Chart;9;nenhum;16;32;954;31;1;2;30
topn;ochiai;defects4j;Chart;9;smote;16;32;954;31;1;2;30
