metric;heuristic;benchmark;program;version;balancing;value;total_test_case;total_statement;total_test_positive;total_test_negative;total_test_equal;total_test_dif
topn;tarantula;defects4j;Chart;9;smote;16;32;954;31;1;2;30
topn;ochiai;defects4j;Chart;10;nenhum;3;1;54;0;1;0;1
topn;tarantula;defects4j;Chart;10;nenhum;3;1;54;0;1;0;1
topn;ochiai;defects4j;Chart;10;smote;3;1;54;0;1;0;1
topn;tarantula;defects4j;Chart;10;smote;3;1;54;0;1;0;1
topn;ochiai;defects4j;Chart;11;nenhum;19;264;194;263;1;255;9
topn;tarantula;defects4j;Chart;11;nenhum;19;264;194;263;1;255;9
topn;ochiai;defects4j;Chart;11;smote;19;264;194;263;1;255;9
topn;tarantula;defects4j;Chart;11;smote;19;264;194;263;1;255;9
topn;ochiai;defects4j;Chart;12;nenhum;31;200;4362;199;1;112;88
topn;tarantula;defects4j;Chart;12;nenhum;31;200;4362;199;1;112;88
topn;ochiai;defects4j;Chart;12;smote;31;200;4362;199;1;112;88
topn;tarantula;defects4j;Chart;12;smote;31;200;4362;199;1;112;88
topn;ochiai;defects4j;Chart;13;nenhum;0;139;887;138;1;113;26
topn;tarantula;defects4j;Chart;13;nenhum;0;139;887;138;1;113;26
topn;ochiai;defects4j;Chart;13;smote;0;139;887;138;1;113;26
topn;tarantula;defects4j;Chart;13;smote;0;139;887;138;1;113;26
topn;ochiai;defects4j;Chart;14;nenhum;26;491;6316;487;4;309;182
topn;tarantula;defects4j;Chart;14;nenhum;26;491;6316;487;4;309;182
topn;ochiai;defects4j;Chart;14;smote;500;491;6316;487;4;309;182
topn;tarantula;defects4j;Chart;14;smote;26;491;6316;487;4;309;182
topn;ochiai;defects4j;Chart;15;nenhum;12107;197;12108;196;1;43;154
topn;tarantula;defects4j;Chart;15;nenhum;12107;197;12108;196;1;43;154
topn;ochiai;defects4j;Chart;15;smote;12107;197;12108;196;1;43;154
topn;tarantula;defects4j;Chart;15;smote;12107;197;12108;196;1;43;154
topn;ochiai;defects4j;Chart;16;nenhum;36;21;299;13;8;2;19
topn;tarantula;defects4j;Chart;16;nenhum;5;21;299;13;8;2;19
topn;ochiai;defects4j;Chart;16;smote;36;21;299;13;8;2;19
topn;tarantula;defects4j;Chart;16;smote;5;21;299;13;8;2;19
topn;ochiai;defects4j;Chart;17;nenhum;2;49;1075;48;1;18;31
topn;tarantula;defects4j;Chart;17;nenhum;2;49;1075;48;1;18;31
topn;ochiai;defects4j;Chart;17;smote;2;49;1075;48;1;18;31
topn;tarantula;defects4j;Chart;17;smote;2;49;1075;48;1;18;31
topn;ochiai;defects4j;Chart;18;nenhum;16;241;393;237;4;162;79
topn;tarantula;defects4j;Chart;18;nenhum;20;241;393;237;4;162;79
topn;ochiai;defects4j;Chart;18;smote;35;241;393;237;4;162;79
topn;tarantula;defects4j;Chart;18;smote;20;241;393;237;4;162;79
topn;ochiai;defects4j;Chart;19;nenhum;6;361;4494;359;2;219;142
topn;tarantula;defects4j;Chart;19;nenhum;6;361;4494;359;2;219;142
topn;ochiai;defects4j;Chart;19;smote;701;361;4494;359;2;219;142
topn;tarantula;defects4j;Chart;19;smote;6;361;4494;359;2;219;142
topn;ochiai;defects4j;Chart;20;nenhum;7;296;518;295;1;244;52
topn;tarantula;defects4j;Chart;20;nenhum;7;296;518;295;1;244;52
topn;ochiai;defects4j;Chart;20;smote;7;296;518;295;1;244;52
topn;tarantula;defects4j;Chart;20;smote;7;296;518;295;1;244;52
topn;ochiai;defects4j;Chart;21;nenhum;15;13;596;12;1;0;13
topn;tarantula;defects4j;Chart;21;nenhum;15;13;596;12;1;0;13
topn;ochiai;defects4j;Chart;21;smote;15;13;596;12;1;0;13
topn;tarantula;defects4j;Chart;21;smote;15;13;596;12;1;0;13
topn;ochiai;defects4j;Chart;22;nenhum;83;37;247;31;6;14;23
topn;tarantula;defects4j;Chart;22;nenhum;46;37;247;31;6;14;23
topn;ochiai;defects4j;Chart;22;smote;92;37;247;31;6;14;23
topn;tarantula;defects4j;Chart;22;smote;83;37;247;31;6;14;23
topn;ochiai;defects4j;Chart;23;nenhum;0;5;4656;4;1;0;5
topn;tarantula;defects4j;Chart;23;nenhum;0;5;4656;4;1;0;5
topn;ochiai;defects4j;Chart;23;smote;0;5;4656;4;1;0;5
topn;tarantula;defects4j;Chart;23;smote;0;5;4656;4;1;0;5
topn;ochiai;defects4j;Chart;24;nenhum;4;10;26;9;1;4;6
topn;tarantula;defects4j;Chart;24;nenhum;4;10;26;9;1;4;6
topn;ochiai;defects4j;Chart;24;smote;4;10;26;9;1;4;6
topn;tarantula;defects4j;Chart;24;smote;4;10;26;9;1;4;6
topn;ochiai;defects4j;Chart;25;nenhum;3359;9;10880;5;4;2;7
topn;tarantula;defects4j;Chart;25;nenhum;3195;9;10880;5;4;2;7
topn;ochiai;defects4j;Chart;25;smote;3359;9;10880;5;4;2;7
topn;tarantula;defects4j;Chart;25;smote;3195;9;10880;5;4;2;7
topn;ochiai;defects4j;Chart;26;nenhum;139;539;20673;517;22;119;420
topn;tarantula;defects4j;Chart;26;nenhum;672;539;20673;517;22;119;420
topn;ochiai;defects4j;Chart;26;smote;139;539;20673;517;22;119;420
topn;tarantula;defects4j;Chart;26;smote;658;539;20673;517;22;119;420
