metric;heuristic;benchmark;program;version;balancing;value;total_test_case;total_statement;total_test_positive;total_test_negative;total_test_equal;total_test_dif;bal_total_test_case;bal_total_statement;bal_total_test_positive;bal_total_test_negative;bal_total_test_equal;bal_total_test_dif;sintet_total_test_equal;sintet_total_test_dif
topn;ochiai;defects4j;Chart;1;smote;37;428;7057;427;1;176;252;428;7057;427;1;176;252;0;0
topn;tarantula;defects4j;Chart;1;smote;37;428;7057;427;1;176;252;428;7057;427;1;176;252;0;0
topn;ochiai;defects4j;Chart;2;smote;142;349;1328;347;2;232;117;694;1328;347;347;577;117;345;0
topn;tarantula;defects4j;Chart;2;smote;142;349;1328;347;2;232;117;694;1328;347;347;577;117;345;0
topn;ochiai;defects4j;Chart;3;smote;11;49;840;48;1;3;46;49;840;48;1;3;46;0;0
topn;tarantula;defects4j;Chart;3;smote;11;49;840;48;1;3;46;49;840;48;1;3;46;0;0
topn;ochiai;defects4j;Chart;4;smote;60;425;25163;403;22;85;340;806;25163;403;403;466;340;381;0
topn;tarantula;defects4j;Chart;4;smote;494;425;25163;403;22;85;340;806;25163;403;403;466;340;381;0
topn;ochiai;defects4j;Chart;5;smote;10;126;284;125;1;85;41;126;284;125;1;85;41;0;0
topn;tarantula;defects4j;Chart;5;smote;10;126;284;125;1;85;41;126;284;125;1;85;41;0;0
topn;ochiai;defects4j;Chart;6;smote;16;479;676;477;2;432;47;954;676;477;477;908;46;475;0
topn;tarantula;defects4j;Chart;6;smote;30;479;676;477;2;432;47;954;676;477;477;908;46;475;0
topn;ochiai;defects4j;Chart;7;smote;100;15;481;14;1;0;15;15;481;14;1;0;15;0;0
topn;tarantula;defects4j;Chart;7;smote;100;15;481;14;1;0;15;15;481;14;1;0;15;0;0
topn;ochiai;defects4j;Chart;8;smote;16;23;195;22;1;7;16;23;195;22;1;7;16;0;0
topn;tarantula;defects4j;Chart;8;smote;16;23;195;22;1;7;16;23;195;22;1;7;16;0;0
topn;ochiai;defects4j;Chart;9;smote;16;32;953;31;1;2;30;32;953;31;1;2;30;0;0
topn;tarantula;defects4j;Chart;9;smote;16;32;953;31;1;2;30;32;953;31;1;2;30;0;0
topn;ochiai;defects4j;Chart;10;smote;3;1;53;0;1;0;1;1;53;0;1;0;1;0;0
topn;tarantula;defects4j;Chart;10;smote;3;1;53;0;1;0;1;1;53;0;1;0;1;0;0
topn;ochiai;defects4j;Chart;11;smote;19;264;193;263;1;255;9;264;193;263;1;255;9;0;0
topn;tarantula;defects4j;Chart;11;smote;19;264;193;263;1;255;9;264;193;263;1;255;9;0;0
topn;ochiai;defects4j;Chart;12;smote;31;200;4361;199;1;112;88;200;4361;199;1;112;88;0;0
topn;tarantula;defects4j;Chart;12;smote;31;200;4361;199;1;112;88;200;4361;199;1;112;88;0;0
topn;ochiai;defects4j;Chart;13;smote;0;139;886;138;1;113;26;139;886;138;1;113;26;0;0
topn;tarantula;defects4j;Chart;13;smote;0;139;886;138;1;113;26;139;886;138;1;113;26;0;0
topn;ochiai;defects4j;Chart;14;smote;500;491;6315;487;4;309;182;974;6315;487;487;792;182;483;0
topn;tarantula;defects4j;Chart;14;smote;26;491;6315;487;4;309;182;974;6315;487;487;792;182;483;0
topn;ochiai;defects4j;Chart;15;smote;40;197;12107;196;1;43;154;197;12107;196;1;43;154;0;0
topn;tarantula;defects4j;Chart;15;smote;40;197;12107;196;1;43;154;197;12107;196;1;43;154;0;0
topn;ochiai;defects4j;Chart;16;smote;2;21;298;13;8;2;19;26;298;13;13;7;19;5;0
topn;tarantula;defects4j;Chart;16;smote;3;21;298;13;8;2;19;26;298;13;13;7;19;5;0
topn;ochiai;defects4j;Chart;17;smote;2;49;1074;48;1;18;31;49;1074;48;1;18;31;0;0
topn;tarantula;defects4j;Chart;17;smote;2;49;1074;48;1;18;31;49;1074;48;1;18;31;0;0
topn;ochiai;defects4j;Chart;18;smote;8;241;392;237;4;162;79;474;392;237;237;396;78;233;0
topn;tarantula;defects4j;Chart;18;smote;20;241;392;237;4;162;79;474;392;237;237;396;78;233;0
topn;ochiai;defects4j;Chart;19;smote;701;361;4493;359;2;219;142;718;4493;359;359;576;142;357;0
